id,HomeTeam,AwayTeam,Unnamed: 0,HTP,ATP,HM1_D,HM1_L,HM1_M,HM1_W,HM2_D,HM2_L,HM2_M,HM2_W,HM3_D,HM3_L,HM3_M,HM3_W,AM1_D,AM1_L,AM1_M,AM1_W,AM2_D,AM2_L,AM2_M,AM2_W,AM3_D,AM3_L,AM3_M,AM3_W,HTGD,ATGD,DiffFormPts
905,Southampton,Arsenal,905,-0.142753493,1.732935912,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,-0.08215325,1.710901929,-0.133333333
906,Sunderland,Birmingham,906,-0.520006945,-0.306040706,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,-0.755027595,-0.405846561,0.066666667
907,Charlton,Blackburn,907,-0.520006945,0.203703447,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,-0.658902689,0.363880163,-0.066666667
908,Tottenham,Leeds,908,0.23449996,-0.178604669,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,-0.37052797,-0.11719904,0
909,Arsenal,Aston Villa,909,1.743513771,-0.306040706,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1.744219973,-0.213414879,0.2
910,Birmingham,Tottenham,910,-0.040580682,0.402822258,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,-0.256379643,-0.2013879,0.1875
911,Blackburn,Fulham,911,0.077311022,-0.075062887,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.194205856,-0.020983199,0.0625
912,Chelsea,Sunderland,912,0.90255295,-0.672419318,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1.095376854,-0.832804353,0.3125
913,Man City,Bolton,913,-0.27636409,-0.791890604,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,-0.706965142,-0.923006703,0.25
914,West Brom,Middlesboro,914,-0.86582261,0.522293545,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,-1.067433541,0.610433254,-0.3125
915,Leeds,Charlton,915,-0.27636409,-0.314005459,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,-0.256379643,-0.471994951,-0.1875
916,Liverpool,Man United,916,1.374119765,0.761236117,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1.185493954,0.610433254,-0.0625
917,Newcastle,Everton,917,0.666769542,1.119649976,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0.194205856,0.249623852,-0.375
918,West Ham,Southampton,918,-0.86582261,0.0444084,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,-1.157550641,-0.020983199,-0.375
919,Aston Villa,Newcastle,919,-0.040580682,0.641764831,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0.104088756,0.159421502,0
920,Bolton,Blackburn,920,-0.727126487,0.241184635,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,-0.834189283,0.23370579,0.058823529
921,Charlton,Liverpool,921,-0.061385101,1.140733145,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,-0.32529272,0.997772759,0.352941176
922,Everton,Chelsea,922,0.93722698,1.02828958,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0.183603845,1.252461748,0.058823529
923,Fulham,Leeds,923,-0.172341998,-0.433476746,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-0.070844437,-0.360568519,0.058823529
924,Man United,Arsenal,924,0.93722698,1.590507398,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.692500408,1.592047068,-0.117647059
925,Middlesboro,West Ham,925,0.382442491,-0.995694563,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.52286822,-1.209531817,0.294117647
926,Southampton,Birmingham,926,0.271485592,-0.096146055,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0.09878775,-0.275672188,-0.058823529
927,Tottenham,West Brom,927,0.382442491,-0.658363873,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,-0.155660532,-0.954842828,0
928,Sunderland,Man City,928,-0.727126487,-0.096146055,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,-1.003821471,-0.530361177,-0.235294118
929,Aston Villa,West Brom,929,-0.172341998,-0.658363873,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,-0.070844437,-0.954842828,0.176470588
930,Charlton,Man City,930,0.129707335,0.097506749,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,-0.146236521,-0.261522801,0.166666667
931,Everton,Blackburn,931,0.758463089,0.203703447,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0.013971657,0.219556403,0.222222222
932,Man United,West Ham,932,1.072840967,-0.964460241,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0.815012545,-1.143501338,0.444444444
933,Middlesboro,Chelsea,933,0.339292587,1.159473738,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0.494596189,1.34207454,-0.333333333
934,Southampton,Newcastle,934,0.444085211,0.734686942,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0.254283923,0.219556403,0
935,Fulham,Birmingham,935,0.024914709,-0.221083348,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0.013971657,-0.421882535,0.111111111
936,Sunderland,Liverpool,936,-0.813426296,0.94708034,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-1.187589674,0.780815472,0.166666667
937,Tottenham,Arsenal,937,0.548877838,1.371867135,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0.013971657,1.34207454,-0.111111111
938,Bolton,Leeds,938,-0.813426296,-0.539673445,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-1.027381497,-0.421882535,0.111111111
939,Arsenal,Middlesboro,939,1.387218843,0.309900147,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1.375741164,0.460096003,0.111111111
940,Birmingham,Charlton,940,0.002853104,0.06956025,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,-0.28958068,-0.172902947,-0.263157895
941,Chelsea,Aston Villa,941,1.094902571,-0.131654548,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1.304069085,-0.096943073,0.210526316
942,Leeds,Southampton,942,-0.294978569,0.371382447,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,-0.137804512,0.206896423,-0.368421053
943,Newcastle,Fulham,943,0.896348123,-0.131654548,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0.393412077,-0.096943073,0.157894737
944,West Brom,Sunderland,944,-0.791364692,-0.634691544,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,-1.04846152,-1.084421435,0
945,West Ham,Bolton,945,-0.989919141,-0.835906342,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,-1.276125772,-1.008461561,-0.052631579
946,Blackburn,Man United,946,0.102130329,1.176241638,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0.165747825,0.966495163,-0.473684211
947,Liverpool,Everton,947,0.797070898,0.874419441,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.696964414,0.054976675,-0.421052632
948,Man City,Tottenham,948,0.102130329,0.471989846,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,-0.213692596,-0.020983199,-0.052631579
949,Birmingham,Everton,949,0.002853104,0.874419441,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,-0.28958068,0.054976675,-0.052631579
950,Bolton,Newcastle,950,-0.58288252,0.713447603,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,-0.851152502,0.267664322,-0.25
951,Chelsea,Southampton,951,1.20907138,0.331139487,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1.383751574,0.195502442,0
952,Liverpool,Blackburn,952,0.737504564,0.235562458,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.662814775,0.195502442,-0.3
953,Man City,Aston Villa,953,-0.017002341,-0.242322687,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,-0.274403063,-0.23746884,0.05
954,Middlesboro,Man United,954,0.171624385,1.00017869,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.302346376,0.844959365,-0.35
955,Sunderland,Leeds,955,-0.58288252,-0.337899717,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,-0.995339861,-0.16530696,0
956,Tottenham,Charlton,956,0.643191201,0.0444084,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0.086065336,-0.16530696,0
957,West Brom,Arsenal,957,-0.771509246,1.382486806,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,-0.995339861,1.350092528,-0.15
958,West Ham,Fulham,958,-0.960135973,-0.242322687,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-1.211620901,-0.23746884,-0.2
959,Aston Villa,Middlesboro,959,-0.205629067,0.139985429,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,-0.202309383,0.267664322,0.05
960,Blackburn,West Ham,960,0.23449996,-0.979631198,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.219953599,-1.189318405,0.238095238
961,Charlton,West Brom,961,0.054855459,-0.888605455,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,-0.123349638,-1.051867204,0.238095238
962,Everton,Bolton,962,0.773433464,-0.615528229,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0.082632305,-0.845690402,-0.047619048
963,Fulham,Man City,963,-0.214611293,0.112677707,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,-0.192010286,-0.158434399,-0.285714286
964,Leeds,Chelsea,964,-0.124789042,1.113960868,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,-0.054688991,1.284803208,-0.19047619
965,Man United,Birmingham,965,0.863255716,-0.069373779,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0.700578131,-0.2958856,0.142857143
966,Southampton,Sunderland,966,0.324322211,-0.706553972,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.219953599,-1.051867204,0.238095238
967,Arsenal,Liverpool,967,1.492011469,0.658832157,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1.387184606,0.597547205,0.380952381
968,Newcastle,Tottenham,968,0.863255716,0.567806416,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0.357274894,0.047742402,0.047619048
969,Arsenal,Chelsea,969,1.492011469,1.113960868,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1.387184606,1.284803208,-0.047619048
970,Aston Villa,Bolton,970,-0.137037531,-0.694141369,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,-0.24818718,-0.93940713,0.045454545
971,Blackburn,Middlesboro,971,0.205920153,0.174740712,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0.210590783,0.307025348,0.045454545
972,Everton,Man City,972,0.72035668,0.261628921,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.079511365,-0.086584908,-0.181818182
973,Leeds,Birmingham,973,0.034441311,-0.172812122,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.079511365,-0.414593456,0.227272727
974,Man United,Sunderland,974,0.977574943,-0.781029579,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.800448163,-1.070610549,0.227272727
975,Newcastle,Liverpool,975,0.977574943,0.609181752,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.407209911,0.569432185,0.318181818
976,Southampton,Tottenham,976,0.463138418,0.435405337,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.276130493,-0.020983199,0.045454545
977,Bolton,Fulham,977,-0.651474056,-0.346588538,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,-0.903584268,-0.283390037,0.045454545
978,Chelsea,Charlton,978,0.977574943,0.174740712,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1.128146709,-0.086584908,-0.045454545
979,Liverpool,Aston Villa,979,0.634617258,-0.172812122,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.603829037,-0.283390037,-0.136363636
980,Man City,Leeds,980,0.261837167,0.148296474,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-0.0487185,0.167265185,-0.217391304
981,Middlesboro,Southampton,981,0.097813927,0.563848774,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0.264732282,0.292764106,-0.217391304
982,Sunderland,Blackburn,982,-0.804313894,0.314517395,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,-1.051761003,0.230014645,-0.173913043
983,West Brom,Man United,983,-0.968337135,1.062511536,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-1.114451159,0.794759796,-0.347826087
984,West Ham,Newcastle,984,-0.886325514,0.896290615,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,-1.051761003,0.355513568,-0.260869565
985,Birmingham,Arsenal,985,-0.230232553,1.478063835,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,-0.487549595,1.296755485,-0.260869565
986,Tottenham,Everton,986,0.343848788,0.646959234,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-0.0487185,0.041766262,-0.086956522
987,Aston Villa,Tottenham,987,0.015802306,0.314517395,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,-0.111408657,-0.08373266,0.173913043
988,Blackburn,Birmingham,988,0.343848788,-0.267255825,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.264732282,-0.522978888,0.130434783
989,Charlton,Bolton,989,0.097813927,-0.682808126,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,-0.236788968,-0.899475655,0
990,Everton,Sunderland,990,0.548877838,-0.831714366,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.013971657,-1.043276503,0.083333333
991,Leeds,West Brom,991,0.077311022,-0.991009416,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0.134127789,-1.103411404,0.333333333
992,Man United,Chelsea,992,1.177633592,0.920531165,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0.915142655,1.121579907,0.083333333
993,Newcastle,Man City,993,1.020444654,0.362998497,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0.494596189,-0.020983199,0
994,Southampton,Liverpool,994,0.548877838,0.44264602,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0.314361989,0.460096003,0.208333333
995,Arsenal,West Ham,995,1.570605939,-0.991009416,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1.515923321,-1.163546305,0.375
996,Fulham,Middlesboro,996,-0.158472386,0.0444084,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,-0.166262543,0.219556403,0.041666667
997,Charlton,West Ham,997,0.077311022,-0.991009416,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,-0.22634061,-1.163546305,0.083333333
998,Newcastle,Bolton,998,1.020444654,-0.672419318,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0.494596189,-0.862871803,0.166666667
999,Bolton,Everton,999,-0.630039202,0.522293545,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,-0.827121275,-0.020983199,0.083333333
1000,Chelsea,Leeds,1000,0.812955255,0.025292994,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1.052120647,0.09447581,-0.24
1001,Middlesboro,Aston Villa,1001,-0.017002341,-0.127630253,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.186996488,-0.194171712,-0.12
1002,Sunderland,Southampton,1002,-0.846959937,0.40760111,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,-1.024177333,0.209934818,-0.28
1003,Liverpool,Arsenal,1003,0.586603183,1.630987082,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.533046152,1.537713416,-0.28
1004,Man City,Fulham,1004,0.284800421,-0.280553499,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,-0.101378231,-0.367360225,0.2
1005,Tottenham,Newcastle,1005,0.586603183,1.095755719,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0.0716466,0.498582339,-0.24
1006,West Brom,Charlton,1006,-0.997861318,0.17821624,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,-1.081852277,-0.136442208,-0.28
1007,West Ham,Blackburn,1007,-0.997861318,0.254677863,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,-1.197202165,0.209934818,-0.16
1008,Arsenal,Fulham,1008,1.64291285,-0.280553499,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1.571195142,-0.367360225,0.32
1009,Bolton,Birmingham,1009,-0.696058556,-0.357015122,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,-0.851152502,-0.71373725,0.04
1010,Chelsea,Tottenham,1010,0.911621542,0.448772754,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1.067648516,-0.020983199,0
1011,Everton,Leeds,1011,0.76652406,-0.065872788,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.12488501,0.034525939,0.038461538
1012,Man City,West Brom,1012,0.403780356,-0.874601495,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.069428333,-1.020147696,0.230769231
1013,Southampton,Man United,1013,0.548877838,1.331022252,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.29125504,0.978181298,-0.192307692
1014,Sunderland,Charlton,1014,-0.90209698,0.301731171,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,-1.039705203,-0.076492337,-0.346153846
1015,Aston Villa,Blackburn,1015,0.041036652,0.154689588,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.013971657,0.145544217,0.153846154
1016,West Ham,Liverpool,1016,-0.82954824,0.522293545,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,-1.095161879,0.478599049,-0.038461538
1017,Birmingham,Man United,1017,-0.394255794,1.331022252,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,-0.762421818,0.978181298,-0.538461538
1018,Birmingham,Chelsea,1018,-0.394255794,0.889897502,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,-0.762421818,1.033690437,-0.192307692
1019,Blackburn,Southampton,1019,0.186134134,0.522293545,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.180341686,0.256562494,-0.153846154
1020,Charlton,Everton,1020,0.444085211,0.840883642,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0.067374382,0.19282978,0
1021,Fulham,Aston Villa,1021,-0.184670543,0.132905648,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.306444698,0.139376535,-0.111111111
1022,Leeds,West Ham,1022,-0.114808792,-0.92906134,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,-0.039431069,-1.250407827,0
1023,Liverpool,Middlesboro,1023,0.653670464,-0.150285549,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0.654804366,-0.020983199,0.222222222
1024,Tottenham,Sunderland,1024,0.444085211,-0.999859139,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0.013971657,-1.143501338,0.222222222
1025,West Brom,Bolton,1025,-0.813426296,-0.645870143,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,-0.947277409,-0.769328626,0
1026,Man United,Man City,1026,1.422149719,0.274501247,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1.028623448,-0.020983199,0.296296296
1027,Newcastle,Arsenal,1027,1.142702717,1.619659433,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0.547998914,1.475707653,-0.074074074
1028,Fulham,West Brom,1028,-0.184670543,-0.858263541,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,-0.306444698,-0.983141604,0.074074074
1029,Bolton,Man United,1029,-0.603841045,1.407266036,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,-0.733666506,0.994628451,-0.37037037
1030,Charlton,Aston Villa,1030,0.548877838,0.0444084,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0.116962627,0.082105201,0.214285714
1031,Chelsea,Blackburn,1031,0.953077965,0.180947012,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1.095376854,0.030561002,0.178571429
1032,Everton,Southampton,1032,0.750977901,0.317485626,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0.168458113,0.082105201,0.178571429
1033,Leeds,Newcastle,1033,0.009944334,1.204986609,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.013971657,0.649091404,-0.321428571
1034,Man City,Arsenal,1034,0.279411086,1.546333142,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0.013971657,1.422254408,-0.142857143
1035,Sunderland,Middlesboro,1035,-1.000555985,-0.023860907,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,-1.221919998,0.082105201,-0.142857143
1036,Birmingham,Liverpool,1036,-0.528989169,0.590562852,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,-0.861451599,0.597547205,-0.285714286
1037,West Brom,West Ham,1037,-0.86582261,-0.979631198,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,-1.067433541,-1.258044005,0.071428571
1038,Tottenham,Fulham,1038,0.548877838,-0.092130212,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.168458113,-0.1756158,0.035714286
1039,Blackburn,Man City,1039,0.212044397,0.249216319,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.065467143,-0.020983199,-0.071428571
1040,Fulham,Sunderland,1040,-0.0690373,-1.092628669,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,-0.135187681,-1.314920364,0.24137931
1041,Middlesboro,Everton,1041,-0.003993601,0.818911911,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.113411215,0.178084056,-0.24137931
1042,Newcastle,Chelsea,1042,1.296880373,0.818911911,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0.710048566,0.974353081,0.206896552
1043,Southampton,West Brom,1043,0.256181193,-0.960798285,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.063691436,-1.115853108,-0.034482759
1044,West Ham,Tottenham,1044,-0.784517987,0.489335949,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,-1.129583265,0.128317243,-0.068965517
1045,Arsenal,Charlton,1045,1.622098866,0.621166334,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1.605004592,0.227850871,-0.137931034
1046,Aston Villa,Birmingham,1046,-0.003993601,-0.433476746,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,-0.035748123,-0.817252224,0.068965517
1047,Man United,Leeds,1047,1.296880373,-0.103900784,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0.958647462,-0.170283641,0.24137931
1048,Middlesboro,Newcastle,1048,-0.003993601,1.280318257,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0.113411215,0.675752198,-0.275862069
1049,Liverpool,Bolton,1049,0.516355989,-0.631222323,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0.560889228,-0.717718596,0.103448276
