id,HomeTeam,AwayTeam,Unnamed: 0,HTP,ATP,HM1_D,HM1_L,HM1_M,HM1_W,HM2_D,HM2_L,HM2_M,HM2_W,HM3_D,HM3_L,HM3_M,HM3_W,AM1_D,AM1_L,AM1_M,AM1_W,AM2_D,AM2_L,AM2_M,AM2_W,AM3_D,AM3_L,AM3_M,AM3_W,HTGD,ATGD,DiffFormPts
32,Tottenham,Everton,32,-0.394255794,-0.433476746,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0.013971657,0.339826203,0
33,Charlton,Southampton,33,-0.86582261,-1.389247036,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,-0.346496743,-0.381792601,0.25
34,Chelsea,Arsenal,34,-0.394255794,0.522293545,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0.013971657,1.061445006,-0.5
35,Coventry,Newcastle,35,0.548877838,0.522293545,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.013971657,0.339826203,0
36,Derby,Middlesbrough,36,-1.337389425,-0.433476746,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,-0.346496743,0.339826203,-0.5
37,Leicester,Ipswich,37,0.077311022,-0.433476746,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.374440056,-0.381792601,0.25
38,Liverpool,Aston Villa,38,-0.394255794,-1.389247036,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,-0.346496743,-0.742602002,0.5
39,Bradford,Arsenal,39,-0.394255794,0.522293545,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.374440056,1.061445006,-0.5
40,Coventry,Leeds,40,-0.017002341,0.331139487,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,-0.562777782,0.556311844,-0.2
41,Ipswich,Aston Villa,41,-0.771509246,-0.433476746,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,-0.562777782,-0.30963072,-0.2
